"sp","site","mn.total.runsize","first.int","first.intlci","first.intuci","first.yr","first.yrlci","first.yruci","last.int","last.intlci","last.intuci","last.yr","last.yrlci","last.yruci","mid.int","mid.intlci","mid.intuci","mid.yr","mid.yrlci","mid.yruci","pk.int","pk.intlci","pk.intuci","pk.yr","pk.yrlci","pk.yruci","lat","lon"
"CK","BINGHAM CR HATCHERY","50.6842105263158","-726.011","-1969.671","517.65","0.512","-0.107","1.132","-1050.325","-2224.134","123.485","0.686","0.101","1.271","-201.692","-1672.243","1268.86","0.257","-0.476","0.989","-1295.322","-2744.26","153.617","0.8","0.078","1.522",47.1461,-123.4003
"CK","NEMAH HATCHERY","1975.11111111111","1501.019","-1473.109","4475.147","-0.611","-2.092","0.871","372.64","-1344.737","2090.018","-0.038","-0.894","0.817","295.849","-2045.677","2637.374","-0.006","-1.173","1.161","-234.095","-2182.349","1714.16","0.256","-0.714","1.227",46.503,-123.8411
"CK","ELOCHOMAN HATCHERY","2573.5","3449.864","-12527.365","19427.093","-1.633","-9.608","6.342","984.532","-1534.742","3503.805","-0.345","-1.602","0.912","2337.184","-2546.959","7221.328","-1.035","-3.474","1.404","882.697","-1952.071","3717.464","-0.312","-1.727","1.103",46.2605,-123.2986
"CK","NORTH TOUTLE HATCHERY","3107.31818181818","-217.587","-3656.139","3220.966","0.228","-1.485","1.941","217.03","-1086.238","1520.298","0.042","-0.607","0.692","474.61","-1935.397","2884.617","-0.101","-1.303","1.1","838.219","-1059.249","2735.688","-0.283","-1.229","0.662",46.3746,-122.572
"CK","LEWIS RIVER HATCHERY","323.681818181818","8503.248","15.293","16991.204","-4.132","-8.36","0.096","2716.679","-688.868","6122.226","-1.191","-2.888","0.505","6448.812","592.118","12305.507","-3.076","-5.993","-0.158","3932.929","-4924.813","12790.671","-1.832","-6.245","2.58",45.937,-122.6165
"CK","KALAMA FALLS HATCHERY","5602.77272727273","2925.365","360.901","5489.828","-1.4","-2.677","-0.122","-3424.053","-5135.545","-1712.56","1.862","1.01","2.715","1522.735","-3313.467","6358.936","-0.63","-3.043","1.783","608.085","-6638.457","7854.628","-0.183","-3.793","3.427",46.016,-122.7336
"CK","SATSOP SPRINGS PONDS","150.117647058824","1246.635","-103.748","2597.018","-0.478","-1.15","0.194","285.29","-893.194","1463.775","0.018","-0.568","0.605","1435.224","-512.744","3383.193","-0.567","-1.536","0.402","1485.433","-84.223","3055.09","-0.593","-1.374","0.189",47.1139,-123.4383
"CK","LYONS FERRY HATCHERY","3863.72727272727","-12754.233","-17461.017","-8047.448","6.444","4.1","8.789","2672.42","-745.2","6090.04","-1.171","-2.873","0.532","636.581","-4849.26","6122.421","-0.185","-2.918","2.548","-5350.505","-10552.96","-148.05","2.79","0.198","5.381",46.5969,-118.2287
"CK","HOODSPORT HATCHERY","3534.86363636364","-152.273","-1815.889","1511.343","0.182","-0.647","1.011","1289.749","-199.356","2778.854","-0.505","-1.247","0.237","2924.521","452.229","5396.812","-1.333","-2.565","-0.1","1338.366","-247.08","2923.813","-0.545","-1.335","0.245",47.407,-123.1399
"CK","NASELLE HATCHERY","2455.05","3625.627","1464.945","5786.308","-1.677","-2.753","-0.601","-3869.218","-7711.754","-26.683","2.081","0.167","3.994","153.32","-1029.916","1336.557","0.061","-0.529","0.65","1798.362","382.927","3213.797","-0.759","-1.463","-0.054",46.3722,-123.7531
"CK","MINTER CR HATCHERY","7650.36363636364","5458.92","3079.695","7838.146","-2.634","-3.819","-1.449","1766.588","78.49","3454.687","-0.737","-1.578","0.104","-253.723","-1970.071","1462.625","0.246","-0.609","1.102","482.947","-1612.481","2578.375","-0.12","-1.164","0.924",47.3726,-122.7026
"CK","CEDAR RIVER HATCHERY","42.3636363636364","585.551","-840.706","2011.807","-0.163","-0.873","0.548","2967.249","1378.01","4556.488","-1.332","-2.124","-0.54","339.982","-1922.346","2602.311","-0.035","-1.161","1.091","1230.876","-253.752","2715.504","-0.479","-1.219","0.26",47.3761,-121.9625
"CK","SUNSET FALLS FCF","426.8","1452.601","235.515","2669.687","-0.625","-1.231","-0.019","-329.142","-1429.607","771.324","0.31","-0.238","0.858","1918.954","-825.535","4663.442","-0.83","-2.201","0.541","1593.367","-1787.439","4974.174","-0.665","-2.348","1.018",NA,NA
"CK","HUMPTULIPS HATCHERY","627.590909090909","2220.539","1257.738","3183.34","-0.965","-1.445","-0.485","1524.914","44.278","3005.549","-0.599","-1.337","0.138","2288.307","838.851","3737.763","-0.993","-1.715","-0.271","2116.639","651.834","3581.445","-0.909","-1.638","-0.179",47.2332,-123.9892
"CK","FORKS CREEK HATCHERY","5099","887.825","-323.183","2098.832","-0.308","-0.911","0.296","-4000.732","-6449.29","-1552.175","2.163","0.943","3.382","224.522","-914.289","1363.332","0.029","-0.538","0.596","-24.783","-893.285","843.718","0.152","-0.28","0.585",46.558,-123.5948
"CK","GEORGE ADAMS HATCHERY","13357.1363636364","6651.336","5123.013","8179.659","-3.206","-3.967","-2.444","-48.346","-1240.167","1143.475","0.167","-0.427","0.761","3830.36","1039.961","6620.759","-1.783","-3.174","-0.393","3546.517","1973.234","5119.8","-1.642","-2.426","-0.858",47.3013,-123.1818
"CK","LK ABERDEEN HATCHERY","200.318181818182","-1411.929","-3599.375","775.516","0.832","-0.257","1.922","1880.854","233.22","3528.488","-0.775","-1.595","0.046","2508.087","-123.76","5139.934","-1.102","-2.414","0.21","2381.987","832.571","3931.403","-1.039","-1.811","-0.267",46.9802,-123.7429
"CK","MCALLISTER HATCHERY","1606","668.6","-4577.402","5914.602","-0.2","-2.824","2.424","-6514.6","-17185.095","4155.895","3.4","-1.938","8.738","-9517.9","-13971.098","-5064.702","4.9","2.672","7.128","-10516.4","-11788.742","-9244.058","5.4","4.764","6.036",47.0501,-122.7242
"CK","COWLITZ TROUT HATCHERY","8.28571428571429","32405.642","12135.118","52676.165","-16.059","-26.186","-5.931","31431.596","9939.607","52923.586","-15.557","-26.295","-4.819","33772.094","9095.43","58448.758","-16.739","-29.066","-4.412","33690.064","15484.481","51895.646","-16.699","-25.794","-7.603",46.4875,-122.7229
"CK","PRIEST RAPIDS HATCHERY","20116.8636363636","991.983","357.949","1626.017","-0.367","-0.683","-0.051","-1349.998","-2259.681","-440.314","0.837","0.384","1.29","410.659","-1789.683","2611","-0.064","-1.161","1.034","-1537.264","-3393.028","318.499","0.911","-0.014","1.835",46.6486,-119.8967
"CK","WALLACE R HATCHERY","4548.27272727273","3300.722","2231.332","4370.112","-1.565","-2.097","-1.032","-1420.14","-4292.998","1452.718","0.845","-0.586","2.276","2617.799","-2821.119","8056.717","-1.196","-3.905","1.513","1605.141","-3070.137","6280.418","-0.681","-3.01","1.648",47.8674,-121.717
"CK","GARRISON HATCHERY","529","-2673.102","-4798.801","-547.403","1.452","0.393","2.511","964.684","-1031.899","2961.267","-0.336","-1.331","0.659","256.276","-1709.716","2222.268","0.006","-0.973","0.985","93.887","-1774.141","1961.914","0.086","-0.844","1.017",47.1915,-122.5741
"CK","SAMISH HATCHERY","8462.59090909091","194.346","-870.368","1259.059","0.033","-0.498","0.563","-682.382","-1357.51","-7.253","0.487","0.151","0.824","433.368","-605.774","1472.51","-0.077","-0.595","0.44","297.04","-778.836","1372.916","-0.01","-0.546","0.526",48.5649,-122.3315
"CK","RINGOLD SPRINGS HATCHERY","4012.63636363636","-13470.469","-21935.521","-5005.417","6.815","2.599","11.032","-2257.944","-9234.993","4719.106","1.284","-2.191","4.759","-4993.519","-14178.309","4191.271","2.622","-1.954","7.198","-566.883","-8511.505","7377.74","0.423","-3.534","4.381",46.5146,-119.2612
"CK","VOIGHTS CR HATCHERY","3171","2303.695","611.536","3995.853","-1.043","-1.886","-0.2","-886.518","-2770.791","997.754","0.587","-0.351","1.526","825.862","-1310.843","2962.567","-0.279","-1.343","0.785","-1058.705","-1911.277","-206.134","0.659","0.234","1.084",47.0828,-122.1775
"CK","WASHOUGAL HATCHERY","5215.57142857143","-1283.059","-3321.603","755.485","0.766","-0.249","1.781","1176.526","-801.493","3154.545","-0.431","-1.416","0.554","-184.81","-2143.589","1773.968","0.229","-0.747","1.206","-924.17","-2565.743","717.404","0.599","-0.219","1.416",45.6518,-122.166
"CK","COWLITZ SALMON HATCHERY","12463.8181818182","2480.711","-1127.786","6089.207","-1.203","-3.001","0.594","-3020.783","-5142.118","-899.447","1.68","0.623","2.737","1929.617","-14592.816","18452.049","-0.827","-9.073","7.419","5685.159","-3233.032","14603.35","-2.732","-7.174","1.711",46.5113,-122.6293
"CK","FALLERT CR HATCHERY","312.85","-1298.131","-6798.731","4202.469","0.775","-1.966","3.516","548.276","-1300.629","2397.182","-0.126","-1.047","0.796","-189.149","-2463.48","2085.181","0.233","-0.9","1.366","-665.957","-2520.83","1188.917","0.47","-0.454","1.395",46.0459,-122.8051
"CK","GRAYS RIVER HATCHERY","48.25","1312.516","-9847.29","12472.322","-0.523","-6.094","5.047","6974.114","-4763.234","18711.461","-3.34","-9.199","2.518","3366.545","-8492.733","15225.823","-1.543","-7.463","4.376","5610.51","-6129.402","17350.422","-2.662","-8.522","3.198",46.3873,-123.5604
"CK","PERCIVAL COVE NET PN","1513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0348,-122.912
"CK","ISSAQUAH HATCHERY","4992.45454545455","2810.463","1660.284","3960.642","-1.271","-1.844","-0.698","481.474","-1209.308","2172.257","-0.087","-0.929","0.755","1209.208","261.256","2157.16","-0.468","-0.94","0.005","707.01","-1450.987","2865.006","-0.216","-1.291","0.859",47.5295,-122.0386
"CK","BEAVER CR HATCHERY","86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2259,-123.3287
"CK","NORTH TOUTLE FCF","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3717,-122.5759
"CK","MARBLEMOUNT HATCHERY","1919.40909090909","5239.199","3280.191","7198.207","-2.542","-3.518","-1.566","453.395","-1487.059","2393.849","-0.085","-1.051","0.882","2433.794","-2128.533","6996.121","-1.116","-3.388","1.156","4979.759","1571.418","8388.1","-2.375","-4.073","-0.678",48.5223,-121.4178
"CK","MODROW TRAP","10143","1072.925","-725.201","2871.05","-0.425","-1.319","0.47","-1525.294","-3161.439","110.851","0.9","0.086","1.714","1994.171","10.941","3977.401","-0.864","-1.851","0.123","-684.941","-1802.149","432.267","0.466","-0.089","1.022",46.0447,-122.8387
"CK","GLENWOOD SPRINGS","557.235294117647","2730.707","188.863","5272.551","-1.239","-2.504","0.026","1498.257","-2023.163","5019.677","-0.603","-2.356","1.149","2587.765","-567.512","5743.042","-1.162","-2.733","0.409","2495.923","724.712","4267.135","-1.115","-1.997","-0.234",48.6821,-122.8822
"CK","TOKUL CR HATCHERY","67.1666666666667","587.998","-303.146","1479.141","-0.163","-0.606","0.281","1313.417","-184.466","2811.3","-0.513","-1.259","0.233","607.242","-914.208","2128.692","-0.167","-0.924","0.591","248.719","-835.577","1333.015","0.011","-0.529","0.551",47.5536,-121.8397
"CK","MERWIN DAM FCF","2317.64705882353","5999.147","2103.799","9894.495","-2.936","-4.874","-0.998","-1218.294","-13112.024","10675.436","0.775","-5.143","6.692","1129.055","-4098.542","6356.652","-0.49","-3.095","2.115","-5568.191","-15442.831","4306.449","2.85","-2.062","7.763",45.957,-122.5561
"CK","ELK CREEK TRAP","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6293,-123.3125
"CK","ICY CR HATCHERY","128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2799,-121.9786
"CK","SKAMANIA HATCHERY","186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6208,-122.2179
"CK","MORSE CREEK HATCHERY","98.875","3662.679","-7602.169","14927.527","-1.714","-7.306","3.878","1875.679","-2794.016","6545.373","-0.798","-3.116","1.52","2854.179","-7170.067","12878.425","-1.298","-6.274","3.678","-7669.357","-13041.266","-2297.449","3.929","1.262","6.595",48.0402,-123.348
"CK","DUNGENESS HATCHERY","368.055555555556","-2946.741","-7055.486","1162.003","1.575","-0.472","3.622","-2974.499","-5988.366","39.368","1.609","0.107","3.111","-6058.128","-7994.034","-4122.222","3.133","2.169","4.098","-5212.241","-7205.537","-3218.944","2.713","1.719","3.706",48.028,-123.1406
"CK","WASHOUGAL RIVER FISH WEIR","7583.2","225.8","-11534.58","11986.18","0","-5.834","5.834","2307.4","-15580.336","20195.136","-1","-9.873","7.873",NA,NA,NA,NA,NA,NA,"1683","-16834.153","20200.153","-0.7","-9.885","8.485",45.6541,-122.1707
"CK","HURD CR HATCHERY","121","-840.162","-5276.518","3596.193","0.513","-1.693","2.718","3751.349","1556.268","5946.429","-1.739","-2.831","-0.648","3793.201","251.499","7334.904","-1.771","-3.531","-0.011","2686.259","-1816.29","7188.808","-1.223","-3.462","1.015",48.1197,-123.1433
"CK","METHOW HATCHERY","766.904761904762","691.326","-1550.733","2933.385","-0.277","-1.394","0.84","-2109.371","-5574.057","1355.315","1.164","-0.563","2.89","3858.413","38.184","7678.643","-1.846","-3.75","0.058","2241.1","-393.475","4875.674","-1.039","-2.352","0.274",48.4767,-120.2049
"CK","SPEELYAI HATCHERY","712.777777777778","1437.717","-7533.058","10408.491","-0.649","-5.13","3.832","11271.859","7710.472","14833.246","-5.506","-7.285","-3.727","3369.683","-2939.696","9679.061","-1.605","-4.757","1.546","5004.144","-27.819","10036.107","-2.427","-4.938","0.084",45.9887,-122.4053
"CK","EASTBANK HATCHERY","1821.59090909091","3011.263","663.746","5358.78","-1.42","-2.589","-0.251","-690.862","-4688.948","3307.225","0.482","-1.509","2.474","-3055.156","-18755.888","12645.576","1.629","-6.211","9.469","-1393.283","-3461.896","675.329","0.798","-0.233","1.828",47.5336,-120.2892
"CK","CHIWAWA HATCHERY","369.85","1170.824","-1106.313","3447.961","-0.492","-1.626","0.642","3700.513","742.794","6658.232","-1.732","-3.205","-0.258","1952.311","-104.469","4009.091","-0.871","-1.895","0.153","681.538","-1696.804","3059.88","-0.239","-1.424","0.946",47.789,-120.6519
"CK","KLICKITAT HATCHERY","883.888888888889","2562.106","-2566.354","7690.565","-1.217","-3.78","1.346","-1146.7","-4017.412","1724.012","0.7","-0.735","2.135",NA,NA,NA,NA,NA,NA,"3017.528","-13830.552","19865.608","-1.417","-9.836","7.003",46.0405,-121.183
"CK","SOLDUC HATCHERY","660.318181818182","1210.926","-1852.571","4274.423","-0.542","-2.068","0.984","-8341.588","-11191.86","-5491.317","4.282","2.863","5.702","-5771.639","-9019.006","-2524.273","2.964","1.347","4.581","-5195.658","-10736.43","345.114","2.687","-0.073","5.447",48.0555,-124.306
