"Daily Test Fishing Data, SALMON GILL NET TEST, Albion Chinook Gillnet",,,,,,,,,,,1981
Date,Vessel,Set No,Location,Sockeye,Sock Jack,Coho,Pink,Chum,Chinook,Steelhead,Sturgeon
Aug 30 1982,1,1,Albion,8,0,0,0,0,6,0,0
Aug 30 1982,1,2,Albion,8,0,0,0,0,7,0,0
Daily total,,,,16,0,0,0,0,13,0,0
Sep 02 1982,1,1,Albion,2,0,0,0,1,2,0,0
Sep 02 1982,1,2,Albion,1,0,0,0,0,1,0,0
Daily total,,,,3,0,0,0,1,3,0,0
Sep 03 1982,1,1,Albion,9,0,0,0,0,5,0,0
Sep 03 1982,1,2,Albion,2,0,0,0,0,2,0,0
Daily total,,,,11,0,0,0,0,7,0,0
Sep 06 1982,1,1,Albion,8,0,1,0,0,3,0,0
Sep 06 1982,1,2,Albion,5,0,0,0,0,2,0,0
Daily total,,,,13,0,1,0,0,5,0,0
Sep 08 1982,1,1,Albion,1,0,1,0,0,6,0,0
Sep 08 1982,1,2,Albion,2,0,0,0,0,6,0,0
Daily total,,,,3,0,1,0,0,12,0,0
Sep 10 1982,1,1,Albion,11,0,4,0,0,14,0,0
Sep 10 1982,1,2,Albion,1,0,3,0,1,16,0,0
Daily total,,,,12,0,7,0,1,30,0,0
Sep 13 1982,1,1,Albion,3,0,0,0,0,13,0,0
Sep 13 1982,1,2,Albion,4,0,2,0,1,19,0,0
Daily total,,,,7,0,2,0,1,32,0,0
Sep 15 1982,1,1,Albion,7,0,11,0,3,53,1,0
Daily total,,,,7,0,11,0,3,53,1,0
Sep 17 1982,1,1,Albion,8,0,8,0,4,34,1,0
Sep 17 1982,1,2,Albion,1,0,5,0,4,13,0,0
Daily total,,,,9,0,13,0,8,47,1,0
Sep 20 1982,1,1,Albion,20,0,4,0,5,18,0,0
Sep 20 1982,1,2,Albion,12,0,4,0,3,13,1,0
Daily total,,,,32,0,8,0,8,31,1,0
Sep 22 1982,1,1,Albion,170,0,8,0,5,38,3,0
Daily total,,,,170,0,8,0,5,38,3,0
Sep 25 1982,1,1,Albion,66,0,2,0,17,13,3,0
Sep 25 1982,1,2,Albion,38,0,6,0,13,7,0,0
Daily total,,,,104,0,8,0,30,20,3,0
Sep 27 1982,1,1,Albion,83,0,3,0,22,14,2,1
Sep 27 1982,1,2,Albion,26,0,1,0,21,17,1,0
Daily total,,,,109,0,4,0,43,31,3,1
Sep 29 1982,1,1,Albion,35,0,0,0,31,21,6,0
Sep 29 1982,1,2,Albion,18,0,2,0,22,26,2,0
Daily total,,,,53,0,2,0,53,47,8,0
Oct 01 1982,1,1,Albion,15,0,4,0,14,4,1,2
Oct 01 1982,1,2,Albion,2,0,1,0,20,5,1,0
Daily total,,,,17,0,5,0,34,9,2,2
Oct 03 1982,1,1,Albion,5,0,4,0,20,6,0,0
Oct 03 1982,1,2,Albion,7,0,1,0,24,2,1,2
,,,,,,,,,,,
1982 Vessel 1 Totals,,,,874,0,75,0,231,"1,148",23,83
,,,,,,,,,,,
1982 Totals,,,,874,0,75,0,231,"1,148",23,83
,,,,,,,,,,,
"Daily Test Fishing Data, SALMON GILL NET TEST, Albion Chinook Gillnet",,,,,,,,,,,1983
Date,Vessel,Set No,Location,Sockeye,Sock Jack,Coho,Pink,Chum,Chinook,Steelhead,Sturgeon
Apr 01 1983,1,1,Albion,0,0,0,0,0,1,0,0
Apr 01 1983,1,2,Albion,0,0,0,0,0,3,0,0
Daily total,,,,0,0,0,0,0,4,0,0
Apr 04 1983,1,1,Albion,0,0,0,0,0,1,0,0
Apr 04 1983,1,2,Albion,0,0,0,0,0,3,0,0
Daily total,,,,0,0,0,0,0,4,0,0
Apr 06 1983,1,1,Albion,0,0,0,0,0,2,0,1
Apr 06 1983,1,2,Albion,0,0,0,0,0,1,0,1
Daily total,,,,0,0,0,0,0,3,0,2
Apr 08 1983,1,1,Albion,0,0,0,0,0,0,0,4
Apr 08 1983,1,2,Albion,0,0,0,0,0,2,0,2
Daily total,,,,0,0,0,0,0,2,0,6
Apr 11 1983,1,1,Albion,0,0,0,0,0,2,0,3
Apr 11 1983,1,2,Albion,0,0,0,0,0,0,0,1
Daily total,,,,0,0,0,0,0,2,0,4
Apr 13 1983,1,1,Albion,0,0,0,0,0,2,0,2
Apr 13 1983,1,2,Albion,0,0,0,0,0,1,0,0
Daily total,,,,0,0,0,0,0,3,0,2
Apr 15 1983,1,1,Albion,0,0,0,0,0,1,0,0
Apr 15 1983,1,2,Albion,0,0,0,0,0,1,0,0
Daily total,,,,0,0,0,0,0,2,0,0
Apr 18 1983,1,1,Albion,0,0,0,0,0,2,0,2
Apr 18 1983,1,2,Albion,0,0,0,0,0,3,1,1
Daily total,,,,0,0,0,0,0,5,1,3
Apr 20 1983,1,1,Albion,0,0,0,0,0,1,0,1
Apr 20 1983,1,2,Albion,0,0,0,0,0,3,0,0
Daily total,,,,0,0,0,0,0,4,0,1
Apr 22 1983,1,1,Albion,0,0,0,0,0,1,0,0
Apr 22 1983,1,2,Albion,0,0,0,0,0,2,0,0
Daily total,,,,0,0,0,0,0,3,0,0
Apr 25 1983,1,1,Albion,0,0,0,0,0,2,0,0
Apr 25 1983,1,2,Albion,0,0,0,0,0,1,0,0
Daily total,,,,0,0,0,0,0,3,0,0
Apr 27 1983,1,1,Albion,0,0,0,0,0,4,0,6
Apr 27 1983,1,2,Albion,0,0,0,0,0,5,0,6
Daily total,,,,0,0,0,0,0,9,0,12
Apr 29 1983,1,1,Albion,0,0,0,0,0,7,0,2
Apr 29 1983,1,2,Albion,0,0,0,0,0,3,0,5
Daily total,,,,0,0,0,0,0,10,0,7
